CompanyName,YearFounded,CurrentValuation,InitialValuation,Industry,NumCompetitors,FounderSch,SeriesA,SeriesB,SeriesC,SeriesD,SeriesE,Success
CompanyA,2013,300,20,AI,18,MIT,2,1.5,0.67,0.08,0.11,Yes
CompanyB,2002,450,50,Alternative Lending,18,Yale,0.6,0.38,1.73,0.3,0.15,Yes
CompanyC,2021,800,30,AI,18,Harvard,3,2,0.72,0.18,0.1,No
CompanyD,2020,300,4,Alternative Lending,18,Stanford,16.5,1.71,0.11,0.14,0.25,No
CompanyE,2003,400,35,AI,18,MIT,1,1.14,0.6,0.46,0.14,Yes
CompanyF,2014,550,20,Alternative Lending,18,Yale,2,1.83,0.76,0.33,0.38,Yes
CompanyG,2013,300,20,AI,18,MIT,2,1.5,0.67,0.08,0.11,Yes
CompanyH,2002,450,50,Alternative Lending,18,Yale,0.6,0.38,1.73,0.3,0.15,Yes
CompanyI,2021,800,30,AI,18,Harvard,3,2,0.72,0.18,0.1,No
CompanyJ,2020,300,4,Alternative Lending,18,Stanford,16.5,1.71,0.11,0.14,0.25,No
CompanyK,2003,400,35,AI,18,MIT,1,1.14,0.6,0.46,0.14,Yes
CompanyL,2014,550,20,Alternative Lending,18,Yale,2,1.83,0.76,0.33,0.38,Yes
CompanyM,2013,300,20,AI,18,MIT,2,1.5,0.67,0.08,0.11,Yes
CompanyN,2002,450,50,Alternative Lending,18,Yale,0.6,0.38,1.73,0.3,0.15,Yes
CompanyO,2021,800,30,AI,18,Harvard,3,2,0.72,0.18,0.1,No
CompanyP,2020,300,4,Alternative Lending,18,Stanford,16.5,1.71,0.11,0.14,0.25,No
CompanyQ,2003,400,35,AI,18,MIT,1,1.14,0.6,0.46,0.14,Yes
CompanyR,2014,550,20,Alternative Lending,18,Yale,2,1.83,0.76,0.33,0.38,Yes
CompanyS,2013,300,20,AI,18,MIT,2,1.5,0.67,0.08,0.11,Yes
CompanyT,2002,450,50,Alternative Lending,18,Yale,0.6,0.38,1.73,0.3,0.15,Yes
CompanyU,2021,800,30,AI,18,Harvard,3,2,0.72,0.18,0.1,No
CompanyV,2020,300,4,Alternative Lending,18,Stanford,16.5,1.71,0.11,0.14,0.25,No
CompanyW,2003,400,35,AI,18,MIT,1,1.14,0.6,0.46,0.14,Yes
CompanyX,2014,550,20,Alternative Lending,18,Yale,2,1.83,0.76,0.33,0.38,Yes
CompanyY,2013,300,20,AI,18,MIT,2,1.5,0.67,0.08,0.11,Yes
CompanyZ,2002,450,50,Alternative Lending,18,Yale,0.6,0.38,1.73,0.3,0.15,Yes
CompanyAA,2021,800,30,AI,18,Harvard,3,2,0.72,0.18,0.1,No
CompanyAB,2020,300,4,Alternative Lending,18,Stanford,16.5,1.71,0.11,0.14,0.25,No
CompanyAC,2003,400,35,AI,18,MIT,1,1.14,0.6,0.46,0.14,Yes
CompanyAD,2014,550,20,Alternative Lending,18,Yale,2,1.83,0.76,0.33,0.38,Yes
CompanyAE,2013,300,20,AI,18,MIT,2,1.5,0.67,0.08,0.11,Yes
CompanyAF,2002,450,50,Alternative Lending,18,Yale,0.6,0.38,1.73,0.3,0.15,Yes
CompanyAG,2021,800,30,AI,18,Harvard,3,2,0.72,0.18,0.1,No
CompanyAH,2020,300,4,Alternative Lending,18,Stanford,16.5,1.71,0.11,0.14,0.25,No
CompanyAI,2003,400,35,AI,18,MIT,1,1.14,0.6,0.46,0.14,Yes
CompanyAJ,2014,550,20,Alternative Lending,18,Yale,2,1.83,0.76,0.33,0.38,Yes
